[11657] [05-09-2012 16:30:17]:	Finished writing sequence region
[11657] [05-09-2012 16:30:47]:	going to write exon:   _DDB0191260_CDS_DDB0189305:546157..546594
[11657] [05-09-2012 16:30:47]:	going to write exon:   _DDB0191260_CDS_DDB0189305:545822..546077
[11657] [05-09-2012 16:30:47]:	going to write exon:   _DDB0191260_CDS_DDB0189305:545467..545723
[11657] [05-09-2012 16:30:47]:	going to write exon:   _DDB0191260_CDS_DDB0189305:544535..545359
[11657] [05-09-2012 16:30:48]:	going to write exon:   _DDB0191292_CDS_DDB0189305:1322821..1322898
[11657] [05-09-2012 16:30:48]:	going to write exon:   _DDB0191292_CDS_DDB0189305:1323261..1324681
[11657] [05-09-2012 16:30:48]:	going to write exon:   _DDB0220128_CDS_DDB0189305:279884..281429
[11657] [05-09-2012 16:30:48]:	going to write exon:   _DDB0191317_CDS_DDB0189305:1653554..1653561
[11657] [05-09-2012 16:30:48]:	going to write exon:   _DDB0191317_CDS_DDB0189305:1652884..1653456
[11657] [05-09-2012 16:30:48]:	going to write exon:   _DDB0191126_CDS_DDB0189305:347135..347988
[11657] [05-09-2012 16:30:48]:	going to write exon:   _DDB0191126_CDS_DDB0189305:345513..347039
[11657] [05-09-2012 16:30:48]:	going to write exon:   _DDB0191207_CDS_DDB0189305:1603004..1603077
[11657] [05-09-2012 16:30:48]:	going to write exon:   _DDB0191207_CDS_DDB0189305:1601338..1602900
[11657] [05-09-2012 16:30:48]:	going to write exon:   _DDB0191163_CDS_DDB0189305:1276879..1276915
[11657] [05-09-2012 16:30:48]:	going to write exon:   _DDB0191163_CDS_DDB0189305:1276633..1276726
[11657] [05-09-2012 16:30:48]:	going to write exon:   _DDB0191163_CDS_DDB0189305:1274513..1276487
[11657] [05-09-2012 16:30:48]:	going to write exon:   _DDB0191157_CDS_DDB0189305:1514277..1514697
[11657] [05-09-2012 16:30:49]:	going to write exon:   _DDB0191199_CDS_DDB0189305:481978..482020
[11657] [05-09-2012 16:30:49]:	going to write exon:   _DDB0191199_CDS_DDB0189305:481699..481899
[11657] [05-09-2012 16:30:49]:	going to write exon:   _DDB0191199_CDS_DDB0189305:481317..481592
[11657] [05-09-2012 16:30:49]:	going to write exon:   _DDB0191199_CDS_DDB0189305:481084..481204
[11657] [05-09-2012 16:30:49]:	going to write exon:   _DDB0191199_CDS_DDB0189305:480978..480986
[11657] [05-09-2012 16:30:49]:	going to write exon:   _DDB0191506_CDS_DDB0189305:1596996..1600815
[11657] [05-09-2012 16:30:49]:	going to write exon:   _DDB0191129_CDS_DDB0189305:1087436..1087943
[11657] [05-09-2012 16:30:49]:	going to write exon:   _DDB0191272_CDS_DDB0189305:826653..828984
[11657] [05-09-2012 16:30:49]:	going to write exon:   _DDB0191106_CDS_DDB0189305:943553..946406
[11657] [05-09-2012 16:30:49]:	going to write exon:   _DDB0191108_CDS_DDB0189305:1655830..1657126
[11657] [05-09-2012 16:30:49]:	going to write exon:   _DDB0191290_CDS_DDB0189305:331629..331750
[11657] [05-09-2012 16:30:49]:	going to write exon:   _DDB0191290_CDS_DDB0189305:331939..332251
[11657] [05-09-2012 16:30:49]:	going to write exon:   _DDB0191290_CDS_DDB0189305:332372..332401
[11657] [05-09-2012 16:30:50]:	going to write exon:   _DDB0191110_CDS_DDB0189305:1564523..1564624
[11657] [05-09-2012 16:30:50]:	going to write exon:   _DDB0191110_CDS_DDB0189305:1564264..1564390
[11657] [05-09-2012 16:30:50]:	going to write exon:   _DDB0191110_CDS_DDB0189305:1563816..1564156
[11657] [05-09-2012 16:30:50]:	going to write exon:   _DDB0191110_CDS_DDB0189305:1562802..1563714
[11657] [05-09-2012 16:30:50]:	going to write exon:   _DDB0191241_CDS_DDB0189305:1436680..1436856
[11657] [05-09-2012 16:30:50]:	going to write exon:   _DDB0191241_CDS_DDB0189305:1436938..1437075
[11657] [05-09-2012 16:30:50]:	going to write exon:   _DDB0191241_CDS_DDB0189305:1437151..1437461
[11657] [05-09-2012 16:30:50]:	going to write exon:   _DDB0191241_CDS_DDB0189305:1437567..1438486
[11657] [05-09-2012 16:30:50]:	going to write exon:   _DDB0191320_CDS_DDB0189305:3254987..3256712
[11657] [05-09-2012 16:30:50]:	going to write exon:   _DDB0191107_CDS_DDB0189305:3985233..3985722
[11657] [05-09-2012 16:30:50]:	going to write exon:   _DDB0191322_CDS_DDB0189305:2902180..2903824
[11657] [05-09-2012 16:30:50]:	going to write exon:   _DDB0216213_CDS_DDB0189305:4597882..4599013
[11657] [05-09-2012 16:30:50]:	going to write exon:   _DDB0216494_CDS_DDB0189305:111236..111503
[11657] [05-09-2012 16:30:50]:	going to write exon:   _DDB0216494_CDS_DDB0189305:110834..111104
[11657] [05-09-2012 16:30:51]:	going to write exon:   _DDB0216495_CDS_DDB0189305:112096..112239
[11657] [05-09-2012 16:30:51]:	going to write exon:   _DDB0216495_CDS_DDB0189305:111902..111976
[11657] [05-09-2012 16:30:51]:	going to write exon:   _DDB0216495_CDS_DDB0189305:111670..111870
[11657] [05-09-2012 16:30:51]:	going to write exon:   _DDB0216496_CDS_DDB0189305:113024..115046
[11657] [05-09-2012 16:30:51]:	going to write exon:   _DDB0216497_CDS_DDB0189305:115383..115566
[11657] [05-09-2012 16:30:51]:	going to write exon:   _DDB0216498_CDS_DDB0189305:116635..118834
[11657] [05-09-2012 16:30:51]:	going to write exon:   _DDB0216498_CDS_DDB0189305:118912..119215
[11657] [05-09-2012 16:30:51]:	going to write exon:   _DDB0216499_CDS_DDB0189305:123448..123451
[11657] [05-09-2012 16:30:51]:	going to write exon:   _DDB0216499_CDS_DDB0189305:122940..123392
[11657] [05-09-2012 16:30:51]:	going to write exon:   _DDB0216499_CDS_DDB0189305:121943..122790
[11657] [05-09-2012 16:30:51]:	going to write exon:   _DDB0216499_CDS_DDB0189305:119933..121856
[11657] [05-09-2012 16:30:51]:	going to write exon:   _DDB0216499_CDS_DDB0189305:119652..119878
[11657] [05-09-2012 16:30:51]:	going to write exon:   _DDB0216499_CDS_DDB0189305:119389..119400
[11657] [05-09-2012 16:30:51]:	going to write exon:   _DDB0216501_CDS_DDB0189305:124121..124640
[11657] [05-09-2012 16:30:51]:	going to write exon:   _DDB0216502_CDS_DDB0189305:125239..125340
[11657] [05-09-2012 16:30:51]:	going to write exon:   _DDB0216502_CDS_DDB0189305:125041..125078
[11657] [05-09-2012 16:30:52]:	going to write exon:   _DDB0216503_CDS_DDB0189305:125955..126906
[11657] [05-09-2012 16:30:52]:	going to write exon:   _DDB0305827_CDS_DDB0232428:137634..137749
[11657] [05-09-2012 16:30:52]:	going to write exon:   _DDB0305827_CDS_DDB0232428:137270..137551
[11657] [05-09-2012 16:30:52]:	going to write exon:   _DDB0305827_CDS_DDB0232428:137037..137172
[11657] [05-09-2012 16:30:52]:	going to write exon:   _DDB0216504_CDS_DDB0189305:127393..127636
[11657] [05-09-2012 16:30:52]:	going to write exon:   _DDB0216505_CDS_DDB0189305:128235..128382
[11657] [05-09-2012 16:30:52]:	going to write exon:   _DDB0216506_CDS_DDB0189305:128576..128735
[11657] [05-09-2012 16:30:52]:	going to write exon:   _DDB0216507_CDS_DDB0189305:129812..130328
[11657] [05-09-2012 16:30:52]:	going to write exon:   _DDB0216508_CDS_DDB0189305:130811..131819
[11657] [05-09-2012 16:30:52]:	going to write exon:   _DDB0216509_CDS_DDB0189305:132175..132567
[11657] [05-09-2012 16:30:52]:	going to write exon:   _DDB0216509_CDS_DDB0189305:132668..134733
[11657] [05-09-2012 16:30:53]:	going to write exon:   _DDB0216510_CDS_DDB0189305:135181..136900
[11657] [05-09-2012 16:30:53]:	going to write exon:   _DDB0216511_CDS_DDB0189305:137549..138554
[11657] [05-09-2012 16:30:53]:	going to write exon:   _DDB0189907_CDS_DDB0189305:148970..149284
[11657] [05-09-2012 16:30:53]:	going to write exon:   _DDB0189907_CDS_DDB0189305:146426..146901
[11657] [05-09-2012 16:30:53]:	going to write exon:   _DDB0202373_CDS_DDB0189305:142733..143219
[11657] [05-09-2012 16:30:53]:	going to write exon:   _DDB0216512_CDS_DDB0189305:140410..140629
[11657] [05-09-2012 16:30:53]:	going to write exon:   _DDB0216512_CDS_DDB0189305:139838..140382
[11657] [05-09-2012 16:30:53]:	going to write exon:   _DDB0216513_CDS_DDB0189305:149843..150556
[11657] [05-09-2012 16:30:53]:	going to write exon:   _DDB0216513_CDS_DDB0189305:150657..152722
[11657] [05-09-2012 16:30:53]:	going to write exon:   _DDB0216514_CDS_DDB0189305:153713..153861
[11657] [05-09-2012 16:30:53]:	going to write exon:   _DDB0216514_CDS_DDB0189305:153909..154085
[11657] [05-09-2012 16:30:53]:	going to write exon:   _DDB0216514_CDS_DDB0189305:154841..155294
[11657] [05-09-2012 16:30:53]:	going to write exon:   _DDB0216514_CDS_DDB0189305:155326..155560
[11657] [05-09-2012 16:30:53]:	going to write exon:   _DDB0216516_CDS_DDB0189305:157928..158534
[11657] [05-09-2012 16:30:54]:	going to write exon:   _DDB0216517_CDS_DDB0189305:158664..159210
[11657] [05-09-2012 16:30:54]:	going to write exon:   _DDB0216518_CDS_DDB0189305:162938..165380
[11657] [05-09-2012 16:30:54]:	going to write exon:   _DDB0216519_CDS_DDB0189305:165498..165690
[11657] [05-09-2012 16:30:54]:	going to write exon:   _DDB0216519_CDS_DDB0189305:165891..166095
[11657] [05-09-2012 16:30:54]:	going to write exon:   _DDB0216519_CDS_DDB0189305:166201..166468
[11657] [05-09-2012 16:30:54]:	going to write exon:   _DDB0216520_CDS_DDB0189305:170385..171298
[11657] [05-09-2012 16:30:54]:	going to write exon:   _DDB0216520_CDS_DDB0189305:167296..170352
[11657] [05-09-2012 16:30:54]:	going to write exon:   _DDB0216522_CDS_DDB0189305:173219..173320
[11657] [05-09-2012 16:30:54]:	going to write exon:   _DDB0216522_CDS_DDB0189305:172976..173013
[11657] [05-09-2012 16:30:54]:	going to write exon:   _DDB0307387_exon_DDB0232428:1289275..1289290
[11657] [05-09-2012 16:30:54]:	going to write exon:   _DDB0307387_exon_DDB0232428:1289059..1289185
[11657] [05-09-2012 16:30:54]:	going to write exon:   _DDB0307387_exon_DDB0232428:1288688..1288982
[11657] [05-09-2012 16:30:54]:	going to write exon:   _DDB0304618_CDS_DDB0232428:1290598..1291894
[11657] [05-09-2012 16:30:54]:	going to write exon:   _DDB0238633_CDS_DDB0232428:1301595..1302071
[11657] [05-09-2012 16:30:54]:	going to write exon:   _DDB0238633_CDS_DDB0232428:1302208..1302485
[11657] [05-09-2012 16:30:55]:	going to write exon:   _DDB0219941_CDS_DDB0189305:2359346..2359459
[11657] [05-09-2012 16:30:55]:	going to write exon:   _DDB0219941_CDS_DDB0189305:2359070..2359257
[11657] [05-09-2012 16:30:55]:	going to write exon:   _DDB0219941_CDS_DDB0189305:2358636..2358921
[11657] [05-09-2012 16:30:55]:	going to write exon:   _DDB0216437_CDS_DDB0189305:2789..4187
[11657] [05-09-2012 16:30:55]:	going to write exon:   _DDB0304895_CDS_DDB0232428:3558145..3558328
[11657] [05-09-2012 16:30:55]:	going to write exon:   _DDB0304895_CDS_DDB0232428:3558444..3559074
[11657] [05-09-2012 16:30:55]:	going to write exon:   _DDB0237578_CDS_DDB0232428:3563595..3563860
[11657] [05-09-2012 16:30:55]:	going to write exon:   _DDB0237578_CDS_DDB0232428:3563983..3564147
[11657] [05-09-2012 16:30:55]:	going to write exon:   _DDB0237578_CDS_DDB0232428:3564256..3566431
[11657] [05-09-2012 16:30:55]:	going to write exon:   _DDB0190559_CDS_DDB0189305:3566326..3566412
[11657] [05-09-2012 16:30:55]:	going to write exon:   _DDB0190559_CDS_DDB0189305:3567293..3567330
[11657] [05-09-2012 16:30:55]:	going to write exon:   _DDB0307434_exon_DDB0232428:3658613..3659264
[11657] [05-09-2012 16:30:55]:	going to write exon:   _DDB0233457_CDS_DDB0232428:3664074..3664325
[11657] [05-09-2012 16:30:55]:	going to write exon:   _DDB0233457_CDS_DDB0232428:3663617..3663930
[11657] [05-09-2012 16:30:55]:	going to write exon:   _DDB0233457_CDS_DDB0232428:3663235..3663532
[11657] [05-09-2012 16:30:55]:	going to write exon:   _DDB0233457_CDS_DDB0232428:3661673..3663131
[11657] [05-09-2012 16:30:56]:	going to write exon:   _DDB0266571_CDS_DDB0232428:3667368..3667381
[11657] [05-09-2012 16:30:56]:	going to write exon:   _DDB0266571_CDS_DDB0232428:3667019..3667282
[11657] [05-09-2012 16:30:56]:	going to write exon:   _DDB0231331_CDS_DDB0189305:3664901..3666407
[11657] [05-09-2012 16:30:56]:	going to write exon:   _DDB0302581_CDS_DDB0232428:1243187..1243286
[11657] [05-09-2012 16:30:56]:	going to write exon:   _DDB0302581_CDS_DDB0232428:1242954..1243107
[11657] [05-09-2012 16:30:56]:	going to write exon:   _DDB0302581_CDS_DDB0232428:1242725..1242863
[11657] [05-09-2012 16:30:56]:	going to write exon:   _DDB0305657_CDS_DDB0232428:1244588..1245377
[11657] [05-09-2012 16:30:56]:	going to write exon:   _DDB0302580_CDS_DDB0232428:1247419..1247617
[11657] [05-09-2012 16:30:56]:	going to write exon:   _DDB0302580_CDS_DDB0232428:1247052..1247297
[11657] [05-09-2012 16:30:56]:	going to write exon:   _DDB0302580_CDS_DDB0232428:1246115..1246899
[11657] [05-09-2012 16:30:56]:	going to write exon:   _DDB0231762_CDS_DDB0189305:2356532..2357432
[11657] [05-09-2012 16:30:56]:	going to write exon:   _DDB0231762_CDS_DDB0189305:2357545..2357662
[11657] [05-09-2012 16:30:56]:	going to write exon:   _DDB0220124_CDS_DDB0189305:2351551..2351969
[11657] [05-09-2012 16:30:56]:	going to write exon:   _DDB0220124_CDS_DDB0189305:2352064..2352352
[11657] [05-09-2012 16:30:56]:	going to write exon:   _DDB0220124_CDS_DDB0189305:2352429..2352786
[11657] [05-09-2012 16:30:56]:	going to write exon:   _DDB0220124_CDS_DDB0189305:2352875..2353154
[11657] [05-09-2012 16:30:56]:	going to write exon:   _DDB0220124_CDS_DDB0189305:2353247..2356225
[11657] [05-09-2012 16:30:57]:	going to write exon:   _DDB0191511_CDS_DDB0189305:3533286..3533335
[11657] [05-09-2012 16:30:57]:	going to write exon:   _DDB0191511_CDS_DDB0189305:3533437..3534353
[11657] [05-09-2012 16:30:57]:	going to write exon:   _DDB0191511_CDS_DDB0189305:3534460..3534713
[11657] [05-09-2012 16:30:57]:	going to write exon:   _DDB0191270_CDS_DDB0189305:3019534..3020533
[11657] [05-09-2012 16:30:57]:	going to write exon:   _DDB0191270_CDS_DDB0189305:3019307..3019400
[11657] [05-09-2012 16:30:57]:	going to write exon:   _DDB0191270_CDS_DDB0189305:3018403..3019220
[11657] [05-09-2012 16:30:57]:	going to write exon:   _DDB0191270_CDS_DDB0189305:3016029..3018293
[11657] [05-09-2012 16:30:57]:	going to write exon:   _DDB0216439_CDS_DDB0189305:6404..8669
[11657] [05-09-2012 16:30:57]:	going to write exon:   _DDB0216440_CDS_DDB0189305:9207..10422
[11657] [05-09-2012 16:30:57]:	going to write exon:   _DDB0216441_CDS_DDB0189305:10534..10789
[11657] [05-09-2012 16:30:57]:	going to write exon:   _DDB0216443_CDS_DDB0189305:13335..13944
[11657] [05-09-2012 16:30:57]:	going to write exon:   _DDB0216444_CDS_DDB0189305:18020..18147
[11657] [05-09-2012 16:30:57]:	going to write exon:   _DDB0216444_CDS_DDB0189305:17585..17608
[11657] [05-09-2012 16:30:58]:	going to write exon:   _DDB0216445_CDS_DDB0189305:18278..18286
[11657] [05-09-2012 16:30:58]:	going to write exon:   _DDB0216445_CDS_DDB0189305:18471..18733
[11657] [05-09-2012 16:30:58]:	going to write exon:   _DDB0233892_CDS_DDB0232428:1302704..1303853
[11657] [05-09-2012 16:30:58]:	going to write exon:   _DDB0231031_CDS_DDB0189305:1301819..1303913
[11657] [05-09-2012 16:30:58]:	going to write exon:   _DDB0304619_CDS_DDB0232428:1313665..1313789
[11657] [05-09-2012 16:30:58]:	going to write exon:   _DDB0304619_CDS_DDB0232428:1313475..1313588
[11657] [05-09-2012 16:30:58]:	going to write exon:   _DDB0230185_CDS_DDB0189305:1310525..1310567
[11657] [05-09-2012 16:30:58]:	going to write exon:   _DDB0230185_CDS_DDB0189305:1310921..1311290
[11657] [05-09-2012 16:30:58]:	going to write exon:   _DDB0230185_CDS_DDB0189305:1311386..1312088
[11657] [05-09-2012 16:30:58]:	going to write exon:   _DDB0234190_CDS_DDB0232428:1322138..1322172
[11657] [05-09-2012 16:30:58]:	going to write exon:   _DDB0234190_CDS_DDB0232428:1321907..1322020
[11657] [05-09-2012 16:30:58]:	going to write exon:   _DDB0234190_CDS_DDB0232428:1321530..1321648
[11657] [05-09-2012 16:30:58]:	going to write exon:   _DDB0234190_CDS_DDB0232428:1321187..1321401
[11657] [05-09-2012 16:30:58]:	going to write exon:   _DDB0234190_CDS_DDB0232428:1320083..1321092
[11657] [05-09-2012 16:30:58]:	going to write exon:   _DDB0232951_CDS_DDB0232428:1815244..1815492
[11657] [05-09-2012 16:30:58]:	going to write exon:   _DDB0232951_CDS_DDB0232428:1814619..1815119
[11657] [05-09-2012 16:30:58]:	going to write exon:   _DDB0232951_CDS_DDB0232428:1814324..1814533
[11657] [05-09-2012 16:30:59]:	going to write exon:   _DDB0232951_CDS_DDB0232428:1809150..1814235
[11657] [05-09-2012 16:30:59]:	going to write exon:   _DDB0191169_CDS_DDB0189305:3258150..3258457
[11657] [05-09-2012 16:30:59]:	going to write exon:   _DDB0191169_CDS_DDB0189305:3256975..3258036
[11657] [05-09-2012 16:30:59]:	going to write exon:   _DDB0191321_CDS_DDB0189305:4773467..4778230
[11657] [05-09-2012 16:30:59]:	going to write exon:   _DDB0191321_CDS_DDB0189305:4772133..4773349
[11657] [05-09-2012 16:30:59]:	going to write exon:   _DDB0191171_CDS_DDB0189305:4752641..4752753
[11657] [05-09-2012 16:30:59]:	going to write exon:   _DDB0191171_CDS_DDB0189305:4752399..4752520
[11657] [05-09-2012 16:30:59]:	going to write exon:   _DDB0191171_CDS_DDB0189305:4750595..4752312
[11657] [05-09-2012 16:30:59]:	going to write exon:   _DDB0216451_CDS_DDB0189305:24828..25005
[11657] [05-09-2012 16:30:59]:	going to write exon:   _DDB0216451_CDS_DDB0189305:25135..25569
[11657] [05-09-2012 16:30:59]:	going to write exon:   _DDB0216451_CDS_DDB0189305:25694..26554
[11657] [05-09-2012 16:30:59]:	going to write exon:   _DDB0216451_CDS_DDB0189305:26615..26786
[11657] [05-09-2012 16:30:59]:	going to write exon:   _DDB0216451_CDS_DDB0189305:26854..27033
[11657] [05-09-2012 16:30:59]:	going to write exon:   _DDB0216451_CDS_DDB0189305:27112..27316
[11657] [05-09-2012 16:30:59]:	going to write exon:   _DDB0216453_CDS_DDB0189305:30036..30304
[11657] [05-09-2012 16:30:59]:	going to write exon:   _DDB0216453_CDS_DDB0189305:30377..31173
[11657] [05-09-2012 16:30:59]:	going to write exon:   _DDB0216453_CDS_DDB0189305:31295..33138
[11657] [05-09-2012 16:30:59]:	going to write exon:   _DDB0191263_CDS_DDB0189305:1951769..1952497
[11657] [05-09-2012 16:30:59]:	going to write exon:   _DDB0191263_CDS_DDB0189305:1951586..1951665
[11657] [05-09-2012 16:31:00]:	going to write exon:   _DDB0229918_CDS_DDB0189305:232244..232322
[11657] [05-09-2012 16:31:00]:	going to write exon:   _DDB0229918_CDS_DDB0189305:232412..235418
[11657] [05-09-2012 16:31:00]:	going to write exon:   _DDB0229918_CDS_DDB0189305:235487..236186
[11657] [05-09-2012 16:31:00]:	going to write exon:   _DDB0191162_CDS_DDB0189305:4788602..4789418
[11657] [05-09-2012 16:31:00]:	going to write exon:   _DDB0191120_CDS_DDB0189305:4848796..4848864
[11657] [05-09-2012 16:31:00]:	going to write exon:   _DDB0191120_CDS_DDB0189305:4848963..4849031
[11657] [05-09-2012 16:31:00]:	going to write exon:   _DDB0191120_CDS_DDB0189305:4849129..4849373
[11657] [05-09-2012 16:31:00]:	going to write exon:   _DDB0191120_CDS_DDB0189305:4849499..4849926
[11657] [05-09-2012 16:31:00]:	going to write exon:   _DDB0191120_CDS_DDB0189305:4850029..4850197
[11657] [05-09-2012 16:31:00]:	going to write exon:   _DDB0191206_CDS_DDB0189305:2973662..2975720
[11657] [05-09-2012 16:31:00]:	going to write exon:   _DDB0216455_CDS_DDB0189305:36814..36952
[11657] [05-09-2012 16:31:00]:	going to write exon:   _DDB0346733_exon_DDB0232428:36169..36667
[11657] [05-09-2012 16:31:00]:	going to write exon:   _DDB0191208_CDS_DDB0189305:3457572..3457722
[11657] [05-09-2012 16:31:00]:	going to write exon:   _DDB0191208_CDS_DDB0189305:3457298..3457360
[11657] [05-09-2012 16:31:00]:	going to write exon:   _DDB0191208_CDS_DDB0189305:3457072..3457174
[11657] [05-09-2012 16:31:00]:	going to write exon:   _DDB0191208_CDS_DDB0189305:3456793..3456950
[11657] [05-09-2012 16:31:01]:	going to write exon:   _DDB0191315_CDS_DDB0189305:3732394..3732635
[11657] [05-09-2012 16:31:01]:	going to write exon:   _DDB0191315_CDS_DDB0189305:3732110..3732292
[11657] [05-09-2012 16:31:01]:	going to write exon:   _DDB0191316_CDS_DDB0189305:3729803..3730058
[11657] [05-09-2012 16:31:01]:	going to write exon:   _DDB0191316_CDS_DDB0189305:3730184..3730253
[11657] [05-09-2012 16:31:01]:	going to write exon:   _DDB0191498_CDS_DDB0189305:3539750..3539852
[11657] [05-09-2012 16:31:01]:	going to write exon:   _DDB0191498_CDS_DDB0189305:3539257..3539650
[11657] [05-09-2012 16:31:01]:	going to write exon:   _DDB0191498_CDS_DDB0189305:3538964..3539109
[11657] [05-09-2012 16:31:01]:	going to write exon:   _DDB0191498_CDS_DDB0189305:3534907..3538857
[11657] [05-09-2012 16:31:01]:	going to write exon:   _DDB0191117_CDS_DDB0189305:4525245..4525440
[11657] [05-09-2012 16:31:01]:	going to write exon:   _DDB0191117_CDS_DDB0189305:4525562..4525921
[11657] [05-09-2012 16:31:01]:	going to write exon:   _DDB0191117_CDS_DDB0189305:4526029..4526576
[11657] [05-09-2012 16:31:01]:	going to write exon:   _DDB0307435_exon_DDB0232428:3671522..3671758
[11657] [05-09-2012 16:31:01]:	going to write exon:   _DDB0307435_exon_DDB0232428:3671890..3672995
[11657] [05-09-2012 16:31:01]:	going to write exon:   _DDB0306592_exon_DDB0232428:3678515..3680023
[11657] [05-09-2012 16:31:01]:	going to write exon:   _DDB0306592_exon_DDB0232428:3676962..3678411
[11657] [05-09-2012 16:31:01]:	going to write exon:   _DDB0306592_exon_DDB0232428:3675571..3676259
[11657] [05-09-2012 16:31:01]:	going to write exon:   _DDB0216446_CDS_DDB0189305:18827..19199
[11657] [05-09-2012 16:31:02]:	going to write exon:   _DDB0216447_CDS_DDB0189305:19396..19594
[11657] [05-09-2012 16:31:02]:	going to write exon:   _DDB0216448_CDS_DDB0189305:19680..19751
[11657] [05-09-2012 16:31:02]:	going to write exon:   _DDB0216448_CDS_DDB0189305:19791..19885
[11657] [05-09-2012 16:31:02]:	going to write exon:   _DDB0216449_CDS_DDB0189305:21768..22149
[11657] [05-09-2012 16:31:02]:	going to write exon:   _DDB0190607_CDS_DDB0189305:3704884..3705010
[11657] [05-09-2012 16:31:02]:	going to write exon:   _DDB0305322_CDS_DDB0232428:3711641..3711998
[11657] [05-09-2012 16:31:02]:	going to write exon:   _DDB0305322_CDS_DDB0232428:3712092..3712290
[11657] [05-09-2012 16:31:02]:	going to write exon:   _DDB0305322_CDS_DDB0232428:3712383..3712720
[11657] [05-09-2012 16:31:02]:	going to write exon:   _DDB0305322_CDS_DDB0232428:3712860..3713063
[11657] [05-09-2012 16:31:02]:	going to write exon:   _DDB0237756_CDS_DDB0232428:3743579..3743859
[11657] [05-09-2012 16:31:02]:	going to write exon:   _DDB0237756_CDS_DDB0232428:3743931..3744917
[11657] [05-09-2012 16:31:02]:	going to write exon:   _DDB0305326_CDS_DDB0232428:3747131..3747224
[11657] [05-09-2012 16:31:02]:	going to write exon:   _DDB0305326_CDS_DDB0232428:3747380..3747757
[11657] [05-09-2012 16:31:02]:	going to write exon:   _DDB0305326_CDS_DDB0232428:3747977..3750705
[11657] [05-09-2012 16:31:03]:	going to write exon:   _DDB0190627_CDS_DDB0189305:3757044..3757257
[11657] [05-09-2012 16:31:03]:	going to write exon:   _DDB0347278_exon_DDB0232428:3764963..3765064
[11657] [05-09-2012 16:31:03]:	going to write exon:   _DDB0347278_exon_DDB0232428:3764610..3764804
[11657] [05-09-2012 16:31:03]:	going to write exon:   _DDB0347278_exon_DDB0232428:3763956..3764531
[11657] [05-09-2012 16:31:03]:	going to write exon:   _DDB0347278_exon_DDB0232428:3763158..3763857
[11657] [05-09-2012 16:31:03]:	going to write exon:   _DDB0190631_CDS_DDB0189305:3763291..3763546
[11657] [05-09-2012 16:31:03]:	going to write exon:   _DDB0190632_CDS_DDB0189305:3763609..3763708
[11657] [05-09-2012 16:31:03]:	going to write exon:   _DDB0190632_CDS_DDB0189305:3763731..3763894
[11657] [05-09-2012 16:31:03]:	going to write exon:   _DDB0190632_CDS_DDB0189305:3764110..3764325
[11657] [05-09-2012 16:31:03]:	going to write exon:   _DDB0216457_CDS_DDB0189305:37757..37964
[11657] [05-09-2012 16:31:03]:	going to write exon:   _DDB0216458_CDS_DDB0189305:38202..38433
[11657] [05-09-2012 16:31:03]:	going to write exon:   _DDB0216459_CDS_DDB0189305:38962..39442
[11657] [05-09-2012 16:31:04]:	going to write exon:   _DDB0216460_CDS_DDB0189305:39613..39910
[11657] [05-09-2012 16:31:04]:	going to write exon:   _DDB0216461_CDS_DDB0189305:40133..40394
